stock_symbol,company_name,abbreviation,sector_id,address,chairman,general_manager,spokesperson,spokesperson_title,founding_date,listed_date,outstanding_common_shares,private_placement_common_shares,preferred_shares,common_stock_dividend_frequency,common_stock_dividend_decision_level,accounting_firm,accountant_1,accountant_2,website
6958,日盛台駿國際租賃股份有限公司,日盛台駿,33,台北市中山區松江路68號7樓,簡志明,朱志威,汪光遠,副總經理,1981-08-10,2024-08-20,373416074,0,0,每年,股東會,勤業眾信聯合會計師事務所,謝東儒,楊承修,http://www.inftfinance.com
6962,ITH Corporation,奕力-KY,1,新竹縣竹北市台元二街1號10樓之1,梁公偉,陳泰元,朱桐和,資深處長,2019-01-10,2024-11-26,492396565,0,0,每年,股東會,資誠聯合會計師事務所,劉倩瑜,鄭雅慧,http://www.ilitekholding.com/
6965,中傑投資控股股份有限公司,中傑-KY,32,"Grand Pavilion Coml. Centre, 802 West Bay Rd., P.O. Box32052",劉安哲,劉佑軒,劉佑軒,總經理,2018-12-20,2025-03-07,155750000,0,0,每年,董事會,勤業眾信聯合會計師事務所,張青霞,邱盟捷,http://www.chungjye.com
6969,成信實業股份有限公司,成信實業*-創,28,台南市柳營區環園東路一段23號,陳鵬,謝雅敏,謝雅敏,總經理,2019-10-30,2024-09-09,38142903,0,0,每年,董事會,資誠聯合會計師事務所,徐潔如,徐聖忠,https://www.transcene.com.tw
6988,威力暘電子股份有限公司,威力暘-創,10,新竹縣竹北市台元二街12號11樓之8,劉一郎,劉一郎,劉一郎,總經理,2008-03-26,2024-10-23,47600000,0,0,每年,董事會,資誠聯合會計師事務所,江采燕,李典易,https://www.wellysun.com.tw/
6994,富威電力股份有限公司,富威電力,28,新北市土城區中央路四段49號,胡惠森,郝遐鵬,郝遐鵬,總經理,2019-06-28,2025-01-15,70500000,0,0,每年,董事會,資誠聯合會計師事務所,周筱姿,陳&#21843;東,https://www.fwp.com.tw
7631,聚賢研發股份有限公司,聚賢研發-創,14,新竹市東區林森路231號9樓,曾國強,鄭惠芸,鄭惠芸,總經理,2018-01-23,2025-03-13,19800000,0,0,每季,董事會,安永聯合會計師事務所,黃靖雅,羅文振,https://www.geniideas.com.tw/
7705,三商餐飲股份有限公司,三商餐飲,30,台北市中山區建國北路二段145號5樓,陳翔玢,陳翔玢,趙惠玲,財會處協理,1996-12-07,2024-11-26,66067304,0,0,每年,股東會,安侯建業聯合會計師事務所,于紀隆,梅元貞,https://www.mfb.com.tw/
7722,連加網路商業股份有限公司,LINEPAY,17,臺北市中山區敬業一路2號13樓,丁雄注,丁雄注,張希雯,資深副總經理,2015-03-03,2024-12-05,68000000,0,0,每年,董事會,勤業眾信聯合會計師事務所,陳薔旬,虞成全,https://pay.line.me/portal/tw/main
7732,金興精密工業股份有限公司,金興精密,10,桃園市平鎮區工業一路3號,施春景,施春景,賴宗彥,財務長,1989-03-28,2025-01-14,66000000,0,0,每年,董事會,資誠聯合會計師事務所,林瑟凱,林鈞堯,https://www.kingshing.com
7736,虎山實業股份有限公司,虎山,10,新北市瑞芳區頂坪路瑞芳工業區3號,陳映志,陳映志,蘇家慧,會計經理,1983-01-10,2025-03-18,76000000,0,0,每年,董事會,勤業眾信聯合會計師事務所,辛宥呈,翁雅玲,http://www.huhandle.com/
8011,台通光電股份有限公司,台通,15,新北市新莊區福慧路219號9樓,李慶煌,李宜娟,陸秀芳,財務部副總經理,1981-12-21,2011-09-19,165921891,0,0,每年,股東會,勤業眾信聯合會計師事務所,謝東儒,李冠豪,www.ttcc.com.tw
8016,矽創電子股份有限公司,矽創,1,新竹縣竹北市台元一街5號11樓之1,毛穎文,劉孟煌,黃英記,處長,1992-07-09,2003-12-25,120136876,0,0,每年,董事會,勤業眾信聯合會計師事務所,張雅芸,蔡美貞,http://www.sitronix.com.tw
8021,尖點科技股份有限公司,尖點,14,新北市樹林區佳園路三段203號,林序庭,林若萍,張啟訓,總經理特助,1996-04-12,2008-01-21,142180467,0,0,每年,董事會,勤業眾信聯合會計師事務所,廖婉怡,謝建新,http://www.topoint.tw/
8028,昇陽國際半導體股份有限公司,昇陽半導體,1,新竹科學園區新竹市力行路6號,梁明成,蔡幸川,黃豐年,資深副總經理,1997-03-03,2018-07-10,172628033,0,0,每年,董事會,資誠聯合會計師事務所,劉倩瑜,李典易,www.psi.com.tw
8033,雷虎科技股份有限公司,雷虎,33,台中巿工業區六路七號,陳冠如,蘇聖傑,卓宜儒,協理,1979-10-02,2007-06-21,152629775,7672502,0,每年,股東會,國富浩華聯合會計師事務所,李青霖,蔡淑滿,www.thundertiger.com
8039,台虹科技股份有限公司,台虹,13,高雄市前鎮區環區三路一號,孫達汶,江宗翰,潘祈愿,財務長,1997-08-16,2009-12-17,256650999,0,0,每年,董事會,安永聯合會計師事務所,洪國森,鄭清標,www.taiflex.com.tw
8045,達運光電股份有限公司,達運光電,15,新北市新北產業園區五工六路41號,陳碧霜,戴國源,戴國源,總經理,1992-10-15,2024-12-11,93418815,0,0,每年,董事會,資誠聯合會計師事務所,余正富,葉翠苗,www.twoway.com.tw
8046,南亞電路板股份有限公司,南電,13,桃園市蘆竹區南崁路一段338號,鄒明仁,湯安得,呂連瑞,副總經理,1997-10-28,2006-04-07,646165487,0,0,每年,董事會,安侯建業聯合會計師事務所,郭欣頤,張肇文,https://www.nanyapcb.com.tw/nypcb/Chinese/index
8070,長華電材股份有限公司,長華*,16,高雄市楠梓區東七街16號6樓,洪全成,黃俊&#21234;,陳明軒,業務協理,1989-05-13,2007-12-31,725648455,0,0,每半會計年度,董事會,勤業眾信聯合會計師事務所,郭麗園,廖鴻儒,www.cwei.com.tw
8072,陞泰科技股份有限公司,陞泰,16,台北市南港區三重路19-11號E棟10樓,陳世忠,陳純平,陳純平,總經理,1996-06-26,2005-08-19,80000000,0,0,每年,董事會,勤業眾信會計師事務所,蔡侑玲,劉建良,www.avtechgroup.com.tw
8081,致新科技股份有限公司,致新,1,新竹市科學園區工業東三路2號,吳錦川,謝其昌、楊人仰,吳錦川,董事長,1996-07-03,2008-12-30,86172072,0,0,每年,董事會,資誠聯合會計師事務所,江采燕,謝智政,http://www.gmt.com.tw
8101,華冠通訊股份有限公司,華冠,15,台北市內湖區瑞光路258巷2號7樓,李森田,周照程,周照程,總經理,1999-08-24,2004-07-01,32666216,19578012,0,每年,股東會,信永中和聯合會計師事務所,郭鎮宇,陳光慧,www.arimacomm.com.tw
8103,瀚荃股份有限公司,瀚荃,13,新北市淡水區中正東路一段3巷9號9樓,楊超群,執行長:楊奕康,王霈蓮,經理,1990-03-16,2009-09-29,92278436,0,0,每年,董事會,安侯建業聯合會計師事務所,唐嘉鍵,黃明宏,www.cvilux-group.com
8104,錸寶科技股份有限公司,錸寶,2,新竹縣湖口鄉新竹工業區光復北路12號,葉垂景,陳康,王鼎章,執行長,2000-03-13,2019-01-17,91651675,0,0,每年,董事會,安永聯合會計師事務所,陳國帥,張志銘,http://www.ritdisplay.com
8105,凌巨科技股份有限公司,凌巨,2,苗栗縣頭份市蘆竹里4鄰工業路15號,田村隆幸,杉本克己,廖怡燕,經營企劃本部 協理,1997-12-15,2006-12-27,441544851,152981757,0,每年,董事會,安侯建業聯合會計師事務所,陳宜君,林琇宜,www.giantplus.com
8110,華東科技股份有限公司,華東,1,高雄市前鎮區北一路18號,焦佑衡,于鴻祺,黃靖窈,協理,1995-04-06,2007-10-31,517739876,0,0,每年,股東會,勤業眾信會計師事務所,許瑞軒,劉裕祥,www.walton.com.tw
8112,至上電子股份有限公司,至上,16,台北市內湖區港墘路189號7樓,葛均,葛均,張家瑋,資深業務副總,1987-03-05,2007-12-31,525291698,0,30000000,每年,董事會,安侯建業聯合會計師事務所,黃泳華,鄭安志,www.supreme.com.tw
8114,振樺電子股份有限公司,振樺電,12,新北市土城區大同街23號,鄭傑文,陳茂強,郭育聞,財務長,1984-08-11,2012-11-26,76294772,0,31153147,每年,股東會,安侯建業聯合會計師事務所,于紀隆,陳蓓琪,https://www.posiflex.com/tw/
8131,福懋科技股份有限公司,福懋科,1,雲林縣斗六市榴中里河南街329號,李培瑛,張憲正,張憲正,總經理,1990-09-11,2007-11-29,442222223,0,0,每年,董事會,安侯建業聯合會計師事務所,寇惠植,郭欣頤,https://www.fatc.com.tw/
8150,南茂科技股份有限公司,南茂,1,新竹科學園區新竹縣研發一路一號,鄭世杰,鄭世杰,黃國樑,資深副總經理,1997-07-28,2014-04-11,727240126,0,0,每年,股東會,資誠聯合會計師事務所,林佳鴻,王方瑜,www.chipmos.com
8162,微矽電子股份有限公司,微矽電子-創,1,新竹縣竹東鎮沿河街395號,張秉堂,張秉堂,王志成,副總經理,1987-08-11,2024-03-07,68702000,0,0,每年,董事會,資誠聯合會計師事務所,李典易,白淑蒨,www.msec.com.tw
8163,達方電子股份有限公司,達方,12,桃園市龜山區山鶯路167-1號,蘇開建,蔡耀坤,林豐正,資深處長,1997-05-08,2007-11-28,280000001,0,0,每年,董事會,安侯建業聯合會計師事務所,許詩淳,唐慈杰,WWW.DARFON.COM.TW
8201,無敵科技股份有限公司,無敵,14,台北市北投區北投路二段13號4樓之1,楊人捷,李圍正,李圍正,總經理,1989-02-17,2007-10-29,62366275,0,0,每年,董事會,安侯建業聯合會計師事務所,陳盈如,郭柔蘭,http://www.besta.com.tw
8210,勤誠興業股份有限公司,勤誠,12,新北市新莊區中原路558號18樓,陳美琪,陳亞男,陳亞男,執行長兼總經理,1983-12-05,2011-12-01,120987688,0,0,每年,股東會,資誠聯合會計師事務所,潘慧玲,黃珮娟,www.chenbro.com
8213,志超科技股份有限公司,志超,13,桃園市平鎮區工業二路１２號,徐正民,李明熹,胡秀杏,財務處副總,1998-04-21,2009-12-25,271242488,0,0,每年,董事會,安侯建業聯合會計師事務所,陳宜君,江曉苓,www.tpt-pcb.com.tw
8215,明基材料股份有限公司,明基材,2,桃園市龜山區建國東路29號,陳建志,劉家瑞,王勝興,財務長,1998-07-16,2010-11-12,320674514,0,0,每年,董事會,安侯建業聯合會計師事務所,王勇勝,唐慈杰,www.benqmaterials.com
8222,寶一科技股份有限公司,寶一,11,台南市新營區新工路13巷1號,曾國浩,曾國浩,胡淑賢,副總經理,1974-10-05,2015-01-27,68573500,0,0,每年,股東會,勤業眾信聯合會計師事務所,王騰葦,廖鴻儒,www.aerowin.com?@?@
8249,菱光科技股份有限公司,菱光,13,台北市內湖區南京東路六段501號9樓,黃育仁,魏耀明,魏耀明,總經理,1998-06-15,2005-05-17,134149500,19800000,0,每年,董事會,資誠聯合會計師事務所,林柏全,林永智,www.csi-sensor.com.tw
8261,富鼎先進電子股份有限公司,富鼎,1,新竹縣竹北市台元一街5號12樓之1及12樓之2,陳泰銘,張嘉帥,張嘉帥,總經理,1998-07-17,2009-12-11,118832493,35000000,0,每年,股東會,勤業眾信聯合會計師事務所,林文欽,戴信維,https://www.a-power.com.tw
8271,宇瞻科技股份有限公司,宇瞻,1,新北市土城區大安里忠承路32號1樓,陳益世,執行長:張家騉,賴孜玟,財務長,1997-04-16,2010-12-29,128729266,17041000,0,每年,董事會,安侯建業聯合會計師事務所,尹元聖,施威銘,www.apacer.com
8341,日友環保科技股份有限公司,日友,28,雲林縣元長鄉元東路1之20號,張芳正,張芳正,謝明宏,協理,1994-11-29,2015-03-23,130000000,0,0,每年,董事會,資誠聯合會計師事務所,黃金連,于智帆,http://www.sunnyfriend.com.tw/
8367,建新國際股份有限公司,建新國際,29,台中市梧棲區臺灣大道十段一號,陳彥銘,柯勝鐘,柯勝鐘,總經理,1989-04-25,2018-09-12,92172031,0,0,每年,股東會,勤業眾信聯合會計師事務所,郭乃華,李麗凰,www.chienshing.com.tw
8374,羅昇企業股份有限公司,羅昇,11,新北市新莊區中原路558號12樓,曾文興,李長堅,陳國美,財務長,1984-03-31,2008-12-25,112250487,23000000,0,每年,董事會,安侯建業聯合會計師事務所,高靚玟,張惠貞,www.acepillar.com
8404,百和興業股份有限公司(開曼),百和興業-KY,33,"P.O.BOX 32052,Grand Cayman KYI-1208,Cayman Islands.",鄭國火因,鄭新隆,張玉敏,經理,2006-11-06,2011-05-18,399937032,0,0,每年,董事會,勤業眾信聯合會計師事務所,蘇定堅,吳少君,http://www.kypaiho.com/
8411,福貞控股股份有限公司,福貞-KY,33,"The Grand Pavilion Commercial Centre, Oleander Way, 802 West",李榮福,莊素貞,李毓嵐,執行副總經理,2009-08-26,2011-11-01,218404319,0,0,每季,董事會,資誠聯合會計師事務所,劉美蘭,王玉娟,www.kingcanholdings.com
8422,可寧衛股份有限公司,可寧衛,28,高雄市岡山區中山南路308號1樓,楊慶祥,楊永發,陳聰田,營運長,1999-05-04,2011-10-05,111882377,0,0,每年,董事會,勤業眾信聯合會計師事務所,施錦川,邱鏞銘,http://www.cleanaway.tw
8429,金麗集團控股有限公司,金麗-KY,31,高雄市三民區博愛一路189號11樓(台灣辦事處),庄春龍,陳泓霖,庄春龍,董事長,2010-12-15,2012-12-20,185747151,0,0,每年,股東會,信永中和聯合會計師事務所,郭鎮宇,陳光慧,www.jinligroup.com.tw
8438,昶昕實業股份有限公司,昶昕,28,33759 桃園市大園區大工路19號,陳國金,陳彥亨,陳彥亨,總經理,1989-10-23,2022-03-11,69943000,0,0,每年,股東會,勤業眾信聯合會計師事務所,曾建銘,王攀發,https://www.persee.com.tw
8442,威宏控股股份有限公司,威宏-KY,33,"P. O. Box 31119 Grand Pavilion, Hibiscus Way, 802 West Bay R",洪永裕,許新居,許新居,總經理,2009-11-27,2016-11-08,67476465,0,0,每年,董事會,安侯建業聯合會計師事務所,周寶蓮,李(禾方)儀,http://www.ww-holding.com.tw/
8443,阿瘦實業股份有限公司,阿瘦,31,(104)台北市中山區松江路168號6樓,羅榮岳,郭欣怡,羅麗玲,副總經理,2003-08-25,2014-09-15,66800000,0,0,每季,董事會,安侯建業聯合會計師事所,陳蓓琪,于紀隆,www.asogroup.com.tw
8454,富邦媒體科技股份有限公司,富邦媒,17,台北市內湖區洲子街96號4樓,蔡明忠,谷元宏,谷元宏,總經理,2004-09-27,2014-12-19,252357405,0,0,每年,股東會,勤業眾信聯合會計師事務所,陳培德,陳俊宏,https://corp.momo.com.tw/
8462,柏文健康事業股份有限公司,柏文,32,高雄市左營區博愛四路238號8樓,陳尚義,林洵賢,繆尚志,財務長暨公司治理主管,2005-10-04,2019-03-15,79306063,0,0,每年,股東會,安永聯合會計師事務所,李芳文,洪國森,www.powerwindhealth.com.tw
8463,潤泰精密材料股份有限公司,潤泰材,33,台北市八德路2段308號10F,莫惟瀚,林依潔,林依潔,總經理,1992-09-23,2015-07-13,150000000,0,0,每年,股東會,資誠聯合會計師事務所,黃金連,張淑瓊,http://www.rtm.com.tw
8464,億豐綜合工業股份有限公司,億豐,25,臺中市西屯區市政北七路98號26樓之1,粘耿豪,粘肇紘,祝宗偉,財務長,2007-07-26,2015-12-22,293020200,0,0,每年,董事會,安永聯合會計師事務所,陳明宏,&#20931;清淵,http://www.nienmade.com.tw/
8466,美吉吉國際股份有限公司,美吉吉-KY,33,"The Grand Pavilion Commercial Centre, Oleander Way, 802 West",陳本源,王傳漢,王傳漢,總經理,2010-10-08,2016-11-01,79825628,0,0,每年,董事會,勤業眾信聯合會計師事務所,陳薔旬,陳招美,www.mjig.com
8467,波力環球企業股份有限公司,波力-KY,32,"PO Box 309, Ugland House, Grand Cayman, KY1-1104, Cayman Isl",洪芳蘭,洪進山,戴珮君,財會處處長,2013-07-10,2015-12-15,51831575,0,0,每季,董事會,安永聯合會計師事務所,羅文振,陳明宏,http://bonnyworldwide.com/
8473,山林水環境工程股份有限公司,山林水,28,台北市吉林路99號3樓,郭又綺,吳人傑,吳人傑,總經理,2004-06-10,2016-09-08,180852418,10676119,0,每年,董事會,安侯建業聯合會計師事務所,張淑瑩,潘俊名,www.mfw.com.tw
8476,台境企業股份有限公司,台境*,28,高雄市苓雅區中正二路175號30樓之1,郭人豪,林睿達,龔信愷,財務長,2003-12-23,2023-10-31,166226358,0,0,每年,董事會,安侯建業聯合會計師事務所,潘俊名,高鈺倫,www.tesc.com.tw
8478,東哥企業股份有限公司,東哥遊艇,32,高雄市前鎮區金福路1號,闕慶承,曾雄威,曾雄威,總經理,1978-01-23,2017-12-11,94886276,0,0,每年,股東會,勤業眾信聯合會計師事務所,郭麗園,劉裕祥,https://oceanalexander.com/zh-hans/
8481,政伸企業股份有限公司,政伸,33,台中市西屯區工業區十二路六號,洪招儀,李煜培,洪國智,董事長室特別助理,1987-02-23,2017-02-24,66601866,0,0,每年,董事會,安侯建業聯合會計師事務所,張字信,陳燕慧,http://www.transart.com.tw/
8482,商億全球控股有限公司,商億-KY,25,"P.O.Box 31119 Grand pavilion,Hibiscus Way,802 West Bay Road,",謝智通,謝淑韞,林芳毅,財務長,2014-09-30,2018-08-15,107444000,0,0,每年,股東會,勤業眾信聯合會計師事務所,張耿禧,劉力維,http://www.shaneglobal.com.tw
8487,愛爾達科技股份有限公司,愛爾達-創,17,台北市中正區中華路一段41號4樓,陳怡君,陳怡君,江瑋玲,內容長,2000-03-28,2024-03-26,26535000,0,0,每年,董事會,勤業眾信聯合會計師事務所,劉怡青,吳世宗,www.elta.com.tw
8488,吉源控股股份有限公司,吉源-KY,33,"P. O. Box 31119 Grand Pavilion, Hibiscus Way, 802 West Bay R",林漢清,陳金龍,林子閔,執行副總,2014-03-27,2016-12-13,73500000,0,0,每年,股東會,資誠聯合會計師事務所,葉翠苗,林佳鴻,http://www.jypkg.com
8499,鼎炫投資控股股份有限公司,鼎炫-KY,14,新北市五股區五權七路20號1樓,傅青炫,傅秀月,傅秀月,總經理,2013-11-08,2017-11-24,41485557,0,0,每年,股東會,勤業眾信聯合會計師事務所,彭以驊,呂宜真,http://topbright.taiwanscale.com
8926,台灣汽電共生股份有限公司,台汽電,23,北市內湖區瑞光路392號6樓,王振勇,陳意通,陳意通,總經理,1992-05-07,2003-08-25,730282000,0,0,每年,股東會,勤業眾信聯合會計師事務所,陳招美,虞成全,www.cogen.com.tw
8940,新天地國際實業股份有限公司,新天地,30,台中市東區旱溪東路1段456號,王玉雲,歐敏雄,陳銘琿,執行副總,1993-07-19,2009-05-15,67491032,0,0,每年,股東會,安永聯合會計師事務所,黃宇廷,黃子評,www.newpalace.com.tw
8996,高力熱處理工業股份有限公司,高力,11,桃園市中壢區吉林北路5-2號,吳誌雄,王心五,吳俊英,副總經理,1970-10-11,2014-02-14,91464699,0,0,每年,董事會,勤業眾信聯合會計師事務所,蘇郁琇,陳文香,https://www.kaori.com.tw/
9103,美德向邦醫療國際股份有限公司,美德醫療-DR,24,台北市信義區松高路9號11樓,楊克誠,楊威遠,林逸清,財務長,1997-11-26,2002-12-13,549411240,0,0,每年,股東會,Baker Tilly TFW LLP,王建源,-,www.medtecs.com
910322,康師傅控股有限公司,康師傅-DR,24,中國上海閔行區吳中路1688號A棟,魏宏名,魏宏名,林清棠,副總裁,1994-01-12,2009-12-16,5620600000,0,0,每年,股東會,富睿瑪澤會計師事務所有限公司,陳志明,不適用,http://www.masterkong.com.cn/
9105,泰金寶科技股份有限公司,泰金寶-DR,24,新北市深坑區北深路三段147號,許介立,鄒孔訓,周怡君,經理,1989-12-02,2003-09-22,10450002831,0,0,每年,股東會,安永聯合會計師事務所,Rosaporn Decharkom,,http://www.calcomp.co.th
910861,神州數碼控股有限公司,神州-DR,24,香港灣仔告士打道77-79 號富通大廈31樓,郭為,郭為,董帥,財務部總經理,2001-01-25,2010-11-24,1672768386,0,0,每年,股東會,信永中和(香港)會計師事務所公司,劉佳煌,,www.dcholdings.com
9110,越南製造加工出口控股有限公司,越南控-DR,24,越南同奈省邊和市三協坊第五區,劉武雄,吳睿蕎,吳睿蕎,行政總裁,2005-06-20,2009-12-03,907680000,0,0,每年,股東會,畢馬威華振會計師事務所,無,無,www.vmeph.com
911608,明輝環球企業有限公司,明輝-DR,24,"8 Penjuru Lane,Singapore 609189",林翔寬,-,林翔寬,執行長,2004-04-23,2010-10-20,480000000,0,0,每年,股東會,Baker Tilly TFW LLP,-,-,http://www.bhglobal.com.sg/
